,Province_State,Country_Region,Date,Doses_admin,People_partially_vaccinated,People_fully_vaccinated,Report_Date_String,UID
307,,Saint Lucia,2021-06-11,49369,29147.0,20222.0,2021/06/11,662.0
308,,Saint Vincent and the Grenadines,2021-06-11,21422,18417.0,0.0,2021/06/11,670.0
309,,San Marino,2021-06-11,43192,21612.0,21580.0,2021/06/11,674.0
310,,Sao Tome and Principe,2021-06-11,23644,12374.0,11270.0,2021/06/11,678.0
311,,Saudi Arabia,2021-06-11,15539341,0.0,0.0,2021/06/11,682.0
312,,Senegal,2021-06-11,545915,474136.0,71779.0,2021/06/11,686.0
313,,Serbia,2021-06-11,4882120,2632697.0,2249423.0,2021/06/11,688.0
314,,Seychelles,2021-06-11,137196,70653.0,66543.0,2021/06/11,690.0
315,,Sierra Leone,2021-06-11,88523,75667.0,12856.0,2021/06/11,694.0
316,,Singapore,2021-06-11,4392067,2503814.0,1888253.0,2021/06/11,702.0
317,,Slovakia,2021-06-11,2934355,1840253.0,1024710.0,2021/06/11,703.0
318,,Slovenia,2021-06-11,1275872,753744.0,522128.0,2021/06/11,705.0
319,,Solomon Islands,2021-06-11,17065,17000.0,3479.0,2021/06/11,90.0
320,,South Africa,2021-06-11,1619011,642946.0,480665.0,2021/06/11,710.0
321,,South Sudan,2021-06-11,11889,11889.0,0.0,2021/06/11,728.0
322,,Spain,2021-06-11,31628321,20628061.0,11893951.0,2021/06/11,724.0
323,,Sri Lanka,2021-06-11,2544373,2089320.0,361645.0,2021/06/11,144.0
324,,Sudan,2021-06-11,483520,417209.0,66311.0,2021/06/11,729.0
325,,Suriname,2021-06-11,112200,90029.0,22171.0,2021/06/11,740.0
326,,Sweden,2021-06-11,6037543,4046103.0,1991440.0,2021/06/11,752.0
327,,Switzerland,2021-06-11,5467187,3410010.0,2057177.0,2021/06/11,756.0
328,,Syria,2021-06-11,71519,71519.0,0.0,2021/06/11,760.0
329,,Taiwan*,2021-06-11,782300,782300.0,0.0,2021/06/11,158.0
330,,Thailand,2021-06-11,5667058,4143444.0,1523614.0,2021/06/11,764.0
331,,Togo,2021-06-11,347246,270784.0,76462.0,2021/06/11,768.0
332,,Trinidad and Tobago,2021-06-11,151659,144502.0,7157.0,2021/06/11,780.0
333,,Tunisia,2021-06-11,1252125,899555.0,352570.0,2021/06/11,788.0
334,,Turkey,2021-06-11,32749537,18967237.0,13540335.0,2021/06/11,792.0
335,,US,2021-06-11,305687618,172423605.0,141583252.0,2021/06/11,840.0
336,,US (Aggregate),2021-06-11,305479154,172423605.0,141583252.0,2021/06/11,840.0
337,,Uganda,2021-06-11,788190,757664.0,4129.0,2021/06/11,800.0
338,,Ukraine,2021-06-11,1599348,1395310.0,204038.0,2021/06/11,804.0
339,,United Arab Emirates,2021-06-11,13684429,5081853.0,3836521.0,2021/06/11,784.0
340,,United Kingdom,2021-06-11,70337066,40886878.0,28857102.0,2021/06/11,826.0
341,Anguilla,United Kingdom,2021-06-11,14557,,,2021/06/11,660.0
342,Bermuda,United Kingdom,2021-06-11,74852,,,2021/06/11,60.0
343,Cayman Islands,United Kingdom,2021-06-11,86711,,,2021/06/11,136.0
344,England,United Kingdom,2021-06-11,58609910,,,2021/06/11,82601.0
345,Falkland Islands (Malvinas),United Kingdom,2021-06-11,4407,,,2021/06/11,238.0
346,Gibraltar,United Kingdom,2021-06-11,77753,,,2021/06/11,292.0
347,Isle of Man,United Kingdom,2021-06-11,89784,,,2021/06/11,833.0
348,Montserrat,United Kingdom,2021-06-11,2522,,,2021/06/11,500.0
349,Northern Ireland,United Kingdom,2021-06-11,1837819,,,2021/06/11,82602.0
350,"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,2021-06-11,7892,,,2021/06/11,654.0
351,Scotland,United Kingdom,2021-06-11,5786398,,,2021/06/11,82603.0
352,Wales,United Kingdom,2021-06-11,3509853,,,2021/06/11,82604.0
353,,Uruguay,2021-06-11,3195997,2070553.0,1113521.0,2021/06/11,858.0
354,,Uzbekistan,2021-06-11,2136423,1199354.0,443390.0,2021/06/11,860.0
355,,Venezuela,2021-06-11,3300000,3127954.0,0.0,2021/06/11,862.0
356,,Vietnam,2021-06-11,1411548,1361525.0,50023.0,2021/06/11,704.0
357,,World,2021-06-11,2279024144,941579739.0,482844378.0,2021/06/11,
358,,Zambia,2021-06-11,147220,141829.0,5286.0,2021/06/11,894.0
359,,Zimbabwe,2021-06-11,1089506,690452.0,399054.0,2021/06/11,716.0
